player_id,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
4508,Jonas Valanciunas,NOP,31,210.82,120.20188,None,Lithuania,2011,1,5,79,14.1,10.2,1.8,-0.7,0.115,0.293,0.22899999999999998,0.61,0.10800000000000001,2022-23
904,Jalen Williams,OKC,22,195.58,95.707912,Santa Clara,USA,2022,1,12,75,14.1,4.5,3.3,-1,0.035,0.109,0.18,0.601,0.152,2022-23
659,Evan Fournier,NYK,29,198.12,92.98635999999999,None,France,2012,1,20,80,14.1,2.6,2.1,-2.7,0.013000000000000001,0.073,0.201,0.5539999999999999,0.114,2021-22
6372,Marvin Bagley III,SAC,22,210.82,106.59411999999999,Duke,USA,2018,1,2,43,14.1,7.4,1,-3.7,0.092,0.188,0.22899999999999998,0.5539999999999999,0.057,2020-21
6408,Mikal Bridges,PHX,25,198.12,94.800728,Villanova,USA,2018,1,10,82,14.2,4.2,2.3,9.8,0.027000000000000003,0.089,0.149,0.627,0.084,2021-22
5132,Tim Hardaway Jr.,DAL,30,195.58,92.98635999999999,Michigan,USA,2013,1,24,42,14.2,3.7,2.2,1.3,0.01,0.114,0.214,0.52,0.115,2021-22
5655,Richaun Holmes,SAC,27,208.28,106.59411999999999,Bowling Green,USA,2015,2,37,61,14.2,8.3,1.7,0.3,0.081,0.196,0.17300000000000001,0.669,0.082,2020-21
30,Al Horford,BOS,35,205.74,108.86208,Florida,Dominican Republic,2007,1,3,28,14.2,6.7,3.4,-6.9,0.034,0.195,0.221,0.5379999999999999,0.20600000000000002,2020-21
5104,Rudy Gobert,UTA,29,215.9,117.02673600000001,None,France,2013,1,27,71,14.3,13.5,1.3,15.9,0.11,0.28800000000000003,0.166,0.6829999999999999,0.059000000000000004,2020-21
136,Ben Simmons,PHI,24,210.82,108.86208,Louisiana State,Australia,2016,1,1,58,14.3,7.2,6.9,8,0.051,0.166,0.2,0.584,0.308,2020-21
6213,Jarrett Allen,CLE,25,205.74,110.22285600000001,Texas,USA,2017,1,22,68,14.3,9.8,1.7,7.7,0.107,0.21,0.162,0.67,0.073,2022-23
564,Dillon Brooks,MEM,27,198.12,102.0582,Oregon,Canada,2017,2,45,73,14.3,3.3,2.6,4.9,0.019,0.084,0.214,0.494,0.11699999999999999,2022-23
350,Collin Sexton,UTA,24,187.96,86.18248,Alabama,USA,2018,1,8,48,14.3,2.2,2.9,0.1,0.032,0.055999999999999994,0.23,0.616,0.17800000000000002,2022-23
6134,Thomas Bryant,WAS,23,208.28,112.490816,Indiana,USA,2017,2,42,10,14.3,6.1,1.5,-2.1,0.063,0.163,0.163,0.7040000000000001,0.079,2020-21
6511,RJ Barrett,NYK,20,198.12,97.068688,Duke,Canada,2019,1,3,56,14.3,5,2.6,-9.1,0.027000000000000003,0.134,0.23399999999999999,0.479,0.127,2019-20
469,Deandre Ayton,PHX,22,210.82,113.398,Arizona,Bahamas,2018,1,1,69,14.4,10.5,1.4,6.3,0.11699999999999999,0.23600000000000002,0.179,0.653,0.066,2020-21
